date,value
1/1/2005,1.97
1/2/2005,1.97
1/3/2005,2.31
1/4/2005,2.25
1/5/2005,2.25
1/6/2005,2.25
1/7/2005,2.24
1/8/2005,2.24
1/9/2005,2.24
1/10/2005,2.26
1/11/2005,2.24
1/12/2005,2.25
1/13/2005,2.29
1/14/2005,2.29
1/15/2005,2.29
1/16/2005,2.29
1/17/2005,2.29
1/18/2005,2.31
1/19/2005,2.19
1/20/2005,2.25
1/21/2005,2.26
1/22/2005,2.26
1/23/2005,2.26
1/24/2005,2.26
1/25/2005,2.29
1/26/2005,2.33
1/27/2005,2.39
1/28/2005,2.48
1/29/2005,2.48
1/30/2005,2.48
1/31/2005,2.5
2/1/2005,2.4
2/2/2005,2.29
2/3/2005,2.49
2/4/2005,2.51
2/5/2005,2.51
2/6/2005,2.51
2/7/2005,2.5
2/8/2005,2.48
2/9/2005,2.5
2/10/2005,2.51
2/11/2005,2.5
2/12/2005,2.5
2/13/2005,2.5
2/14/2005,2.51
2/15/2005,2.53
2/16/2005,2.48
2/17/2005,2.5
2/18/2005,2.51
2/19/2005,2.51
2/20/2005,2.51
2/21/2005,2.51
2/22/2005,2.57
2/23/2005,2.53
2/24/2005,2.55
2/25/2005,2.54
2/26/2005,2.54
2/27/2005,2.54
2/28/2005,2.52
3/1/2005,2.39
3/2/2005,2.48
3/3/2005,2.51
3/4/2005,2.5
3/5/2005,2.5
3/6/2005,2.5
3/7/2005,2.51
3/8/2005,2.49
3/9/2005,2.5
3/10/2005,2.52
3/11/2005,2.51
3/12/2005,2.51
3/13/2005,2.51
3/14/2005,2.59
3/15/2005,2.61
3/16/2005,2.57
3/17/2005,2.68
3/18/2005,2.7
3/19/2005,2.7
3/20/2005,2.7
3/21/2005,2.71
3/22/2005,2.72
3/23/2005,2.73
3/24/2005,2.75
3/25/2005,2.8
3/26/2005,2.8
3/27/2005,2.8
3/28/2005,2.79
3/29/2005,2.72
3/30/2005,2.74
3/31/2005,2.96
4/1/2005,2.83
4/2/2005,2.83
4/3/2005,2.83
4/4/2005,2.78
4/5/2005,2.72
4/6/2005,2.73
4/7/2005,2.76
4/8/2005,2.75
4/9/2005,2.75
4/10/2005,2.75
4/11/2005,2.78
4/12/2005,2.77
4/13/2005,2.76
4/14/2005,2.79
4/15/2005,2.82
4/16/2005,2.82
4/17/2005,2.82
4/18/2005,2.75
4/19/2005,2.74
4/20/2005,2.74
4/21/2005,2.75
4/22/2005,2.74
4/23/2005,2.74
4/24/2005,2.74
4/25/2005,2.82
4/26/2005,2.78
4/27/2005,2.63
4/28/2005,2.89
4/29/2005,2.97
4/30/2005,2.97
5/1/2005,2.97
5/2/2005,2.98
5/3/2005,2.95
5/4/2005,2.99
5/5/2005,2.99
5/6/2005,2.98
5/7/2005,2.98
5/8/2005,2.98
5/9/2005,2.99
5/10/2005,2.99
5/11/2005,2.99
5/12/2005,3.01
5/13/2005,3.01
5/14/2005,3.01
5/15/2005,3.01
5/16/2005,3.06
5/17/2005,2.99
5/18/2005,3
5/19/2005,3.02
5/20/2005,3.01
5/21/2005,3.01
5/22/2005,3.01
5/23/2005,3.01
5/24/2005,2.99
5/25/2005,3.01
5/26/2005,3.01
5/27/2005,3.01
5/28/2005,3.01
5/29/2005,3.01
5/30/2005,3.01
5/31/2005,3.09
6/1/2005,3.02
6/2/2005,3
6/3/2005,2.99
6/4/2005,2.99
6/5/2005,2.99
6/6/2005,3
6/7/2005,2.96
6/8/2005,2.96
6/9/2005,3.01
6/10/2005,3.01
6/11/2005,3.01
6/12/2005,3.01
6/13/2005,3.04
6/14/2005,3.01
6/15/2005,3.05
6/16/2005,3
6/17/2005,2.99
6/18/2005,2.99
6/19/2005,2.99
6/20/2005,3.01
6/21/2005,2.96
6/22/2005,2.93
6/23/2005,3.05
6/24/2005,3.07
6/25/2005,3.07
6/26/2005,3.07
6/27/2005,3.17
6/28/2005,3.17
6/29/2005,3.2
6/30/2005,3.35
7/1/2005,3.36
7/2/2005,3.36
7/3/2005,3.36
7/4/2005,3.36
7/5/2005,3.27
7/6/2005,2.99
7/7/2005,3.18
7/8/2005,3.22
7/9/2005,3.22
7/10/2005,3.22
7/11/2005,3.23
7/12/2005,3.23
7/13/2005,3.27
7/14/2005,3.32
7/15/2005,3.32
7/16/2005,3.32
7/17/2005,3.32
7/18/2005,3.19
7/19/2005,3.13
7/20/2005,3.25
7/21/2005,3.27
7/22/2005,3.25
7/23/2005,3.25
7/24/2005,3.25
7/25/2005,3.28
7/26/2005,3.25
7/27/2005,3.27
7/28/2005,3.27
7/29/2005,3.31
7/30/2005,3.31
7/31/2005,3.31
8/1/2005,3.3
8/2/2005,3.2
8/3/2005,3.35
8/4/2005,3.44
8/5/2005,3.49
8/6/2005,3.49
8/7/2005,3.49
8/8/2005,3.5
8/9/2005,3.47
8/10/2005,3.48
8/11/2005,3.51
8/12/2005,3.55
8/13/2005,3.55
8/14/2005,3.55
8/15/2005,3.61
8/16/2005,3.46
8/17/2005,3.57
8/18/2005,3.5
8/19/2005,3.54
8/20/2005,3.54
8/21/2005,3.54
8/22/2005,3.51
8/23/2005,3.49
8/24/2005,3.5
8/25/2005,3.55
8/26/2005,3.54
8/27/2005,3.54
8/28/2005,3.54
8/29/2005,3.54
8/30/2005,3.52
8/31/2005,3.63
9/1/2005,3.57
9/2/2005,3.49
9/3/2005,3.49
9/4/2005,3.49
9/5/2005,3.49
9/6/2005,3.57
9/7/2005,3.48
9/8/2005,3.49
9/9/2005,3.49
9/10/2005,3.49
9/11/2005,3.49
9/12/2005,3.5
9/13/2005,3.45
9/14/2005,3.54
9/15/2005,3.67
9/16/2005,3.62
9/17/2005,3.62
9/18/2005,3.62
9/19/2005,3.62
9/20/2005,3.67
9/21/2005,3.72
9/22/2005,3.77
9/23/2005,3.76
9/24/2005,3.76
9/25/2005,3.76
9/26/2005,3.83
9/27/2005,3.73
9/28/2005,3.76
9/29/2005,3.82
9/30/2005,3.93
10/1/2005,3.93
10/2/2005,3.93
10/3/2005,3.87
10/4/2005,3.75
10/5/2005,3.75
10/6/2005,3.76
10/7/2005,3.73
10/8/2005,3.73
10/9/2005,3.73
10/10/2005,3.73
10/11/2005,3.72
10/12/2005,3.36
10/13/2005,3.75
10/14/2005,3.77
10/15/2005,3.77
10/16/2005,3.77
10/17/2005,3.82
10/18/2005,3.71
10/19/2005,3.71
10/20/2005,3.77
10/21/2005,3.76
10/22/2005,3.76
10/23/2005,3.76
10/24/2005,3.76
10/25/2005,3.74
10/26/2005,3.75
10/27/2005,3.85
10/28/2005,3.9
10/29/2005,3.9
10/30/2005,3.9
10/31/2005,4.02
11/1/2005,3.99
11/2/2005,3.99
11/3/2005,4.01
11/4/2005,4
11/5/2005,4
11/6/2005,4
11/7/2005,3.99
11/8/2005,3.95
11/9/2005,4.02
11/10/2005,3.98
11/11/2005,3.98
11/12/2005,3.98
11/13/2005,3.98
11/14/2005,4.03
11/15/2005,3.97
11/16/2005,3.96
11/17/2005,3.98
11/18/2005,4
11/19/2005,4
11/20/2005,4
11/21/2005,4.03
11/22/2005,3.99
11/23/2005,4.01
11/24/2005,4.01
11/25/2005,4.03
11/26/2005,4.03
11/27/2005,4.03
11/28/2005,4.01
11/29/2005,3.99
11/30/2005,4.03
12/1/2005,4.03
12/2/2005,4
12/3/2005,4
12/4/2005,4
12/5/2005,4.02
12/6/2005,3.97
12/7/2005,3.98
12/8/2005,4.09
12/9/2005,4.16
12/10/2005,4.16
12/11/2005,4.16
12/12/2005,4.24
12/13/2005,4.23
12/14/2005,4.26
12/15/2005,4.29
12/16/2005,4.25
12/17/2005,4.25
12/18/2005,4.25
12/19/2005,4.25
12/20/2005,4.3
12/21/2005,4.08
12/22/2005,4.25
12/23/2005,4.21
12/24/2005,4.21
12/25/2005,4.21
12/26/2005,4.21
12/27/2005,4.26
12/28/2005,4.19
12/29/2005,4.18
12/30/2005,4.09
12/31/2005,4.09
1/1/2006,4.09
1/2/2006,4.09
1/3/2006,4.34
1/4/2006,4.22
1/5/2006,4.24
1/6/2006,4.22
1/7/2006,4.22
1/8/2006,4.22
1/9/2006,4.25
1/10/2006,4.24
1/11/2006,4.24
1/12/2006,4.28
1/13/2006,4.3
1/14/2006,4.3
1/15/2006,4.3
1/16/2006,4.3
1/17/2006,4.32
1/18/2006,4.24
1/19/2006,4.23
1/20/2006,4.24
1/21/2006,4.24
1/22/2006,4.24
1/23/2006,4.26
1/24/2006,4.28
1/25/2006,4.36
1/26/2006,4.37
1/27/2006,4.42
1/28/2006,4.42
1/29/2006,4.42
1/30/2006,4.48
1/31/2006,4.47
2/1/2006,4.47
2/2/2006,4.48
2/3/2006,4.51
2/4/2006,4.51
2/5/2006,4.51
2/6/2006,4.51
2/7/2006,4.47
2/8/2006,4.48
2/9/2006,4.52
2/10/2006,4.51
2/11/2006,4.51
2/12/2006,4.51
2/13/2006,4.44
2/14/2006,4.45
2/15/2006,4.5
2/16/2006,4.48
2/17/2006,4.48
2/18/2006,4.48
2/19/2006,4.48
2/20/2006,4.48
2/21/2006,4.54
2/22/2006,4.49
2/23/2006,4.47
2/24/2006,4.48
2/25/2006,4.48
2/26/2006,4.48
2/27/2006,4.52
2/28/2006,4.52
3/1/2006,4.52
3/2/2006,4.5
3/3/2006,4.51
3/4/2006,4.51
3/5/2006,4.51
3/6/2006,4.51
3/7/2006,4.51
3/8/2006,4.51
3/9/2006,4.51
3/10/2006,4.51
3/11/2006,4.51
3/12/2006,4.51
3/13/2006,4.52
3/14/2006,4.51
3/15/2006,4.47
3/16/2006,4.55
3/17/2006,4.6
3/18/2006,4.6
3/19/2006,4.6
3/20/2006,4.55
3/21/2006,4.54
3/22/2006,4.58
3/23/2006,4.64
3/24/2006,4.69
3/25/2006,4.69
3/26/2006,4.69
3/27/2006,4.77
3/28/2006,4.7
3/29/2006,4.69
3/30/2006,4.76
3/31/2006,5
4/1/2006,5
4/2/2006,5
4/3/2006,4.87
4/4/2006,4.76
4/5/2006,4.76
4/6/2006,4.76
4/7/2006,4.76
4/8/2006,4.76
4/9/2006,4.76
4/10/2006,4.78
4/11/2006,4.74
4/12/2006,4.78
4/13/2006,4.82
4/14/2006,4.8
4/15/2006,4.8
4/16/2006,4.8
4/17/2006,4.78
4/18/2006,4.72
4/19/2006,4.7
4/20/2006,4.73
4/21/2006,4.74
4/22/2006,4.74
4/23/2006,4.74
4/24/2006,4.77
4/25/2006,4.74
4/26/2006,4.73
4/27/2006,4.79
4/28/2006,4.86
4/29/2006,4.86
4/30/2006,4.86
5/1/2006,4.84
5/2/2006,4.79
5/3/2006,4.81
5/4/2006,4.83
5/5/2006,4.83
5/6/2006,4.83
5/7/2006,4.83
5/8/2006,4.88
5/9/2006,4.78
5/10/2006,4.88
5/11/2006,4.99
5/12/2006,5.01
5/13/2006,5.01
5/14/2006,5.01
5/15/2006,5.01
5/16/2006,4.98
5/17/2006,4.96
5/18/2006,5
5/19/2006,5
5/20/2006,5
5/21/2006,5
5/22/2006,5
5/23/2006,4.94
5/24/2006,4.9
5/25/2006,5.01
5/26/2006,4.99
5/27/2006,4.99
5/28/2006,4.99
5/29/2006,4.99
5/30/2006,5.02
5/31/2006,5.05
6/1/2006,5.02
6/2/2006,4.97
6/3/2006,4.97
6/4/2006,4.97
6/5/2006,5.01
6/6/2006,4.99
6/7/2006,4.99
6/8/2006,5.02
6/9/2006,5
6/10/2006,5
6/11/2006,5
6/12/2006,5.01
6/13/2006,5
6/14/2006,5
6/15/2006,5.02
6/16/2006,4.94
6/17/2006,4.94
6/18/2006,4.94
6/19/2006,4.95
6/20/2006,4.92
6/21/2006,4.91
6/22/2006,4.98
6/23/2006,4.98
6/24/2006,4.98
6/25/2006,4.98
6/26/2006,5.03
6/27/2006,5.02
6/28/2006,5.06
6/29/2006,5.08
6/30/2006,5.05
7/1/2006,5.05
7/2/2006,5.05
7/3/2006,5.25
7/4/2006,5.25
7/5/2006,5.25
7/6/2006,5.24
7/7/2006,5.22
7/8/2006,5.22
7/9/2006,5.22
7/10/2006,5.24
7/11/2006,5.25
7/12/2006,5.27
7/13/2006,5.26
7/14/2006,5.26
7/15/2006,5.26
7/16/2006,5.26
7/17/2006,5.28
