Date,Open*,High,Low,Close**,Volume,Market Cap
27-Jul-20,"9,905.22","11,298.22","9,903.97",10990.87,35359749590.00,"202,719,581,737"
26-Jul-20,"9,680.23","10,023.81","9,652.85",9905.17,20507998997.00,"182,685,328,095"
25-Jul-20,"9,539.49","9,704.56","9,530.21",9677.11,16610070933.00,"178,469,614,078"
24-Jul-20,"9,585.51","9,623.34","9,481.45",9536.89,16552768325.00,"175,875,016,548"
23-Jul-20,"9,527.14","9,610.25","9,483.00",9581.07,18146399002.00,"176,680,237,480"
22-Jul-20,"9,375.08","9,530.52","9,319.65",9525.36,16532254884.00,"175,644,844,408"
21-Jul-20,"9,162.51","9,407.26","9,149.39",9374.89,18069581956.00,"172,861,732,402"
20-Jul-20,"9,187.22","9,214.27","9,137.51",9164.23,13755604146.00,"168,970,262,859"
19-Jul-20,"9,158.01","9,201.40","9,097.63",9185.82,12939002784.00,"169,360,219,986"
18-Jul-20,"9,151.18","9,230.98","9,100.82",9159.04,12252601475.00,"168,858,972,269"
17-Jul-20,"9,131.81","9,182.25","9,089.20",9151.39,13944570749.00,"168,710,427,574"
16-Jul-20,"9,191.98","9,214.31","9,088.95",9132.23,15713967523.00,"168,350,501,976"
15-Jul-20,"9,241.90","9,275.33","9,171.93",9192.84,15844731575.00,"169,460,074,576"
14-Jul-20,"9,238.70","9,283.84","9,171.66",9243.21,18085038362.00,"170,380,670,525"
13-Jul-20,"9,277.20","9,306.40","9,224.29",9243.61,17519821266.00,"170,379,677,119"
12-Jul-20,"9,241.06","9,319.42","9,197.45",9276.50,14452361907.00,"170,977,422,928"
11-Jul-20,"9,277.51","9,293.53","9,199.49",9240.35,13249910444.00,"170,302,234,778"
10-Jul-20,"9,273.36","9,287.47","9,118.00",9278.81,16860035605.00,"171,001,933,827"
9-Jul-20,"9,427.99","9,431.38","9,235.00",9277.97,18000702524.00,"170,977,231,638"
8-Jul-20,"9,253.02","9,450.34","9,249.50",9428.33,19702359883.00,"173,738,543,115"
7-Jul-20,"9,349.16","9,360.62","9,201.82",9252.28,13839652595.00,"170,485,472,276"
6-Jul-20,"9,072.85","9,375.47","9,058.66",9375.47,17889263252.00,"172,746,103,840"
5-Jul-20,"9,126.09","9,162.18","8,977.02",9073.94,12903406143.00,"167,181,726,154"
4-Jul-20,"9,084.23","9,183.30","9,053.63",9132.49,12290528515.00,"168,251,076,678"
3-Jul-20,"9,124.84","9,202.34","9,058.79",9087.30,13078970999.00,"167,409,720,388"
2-Jul-20,"9,231.14","9,274.96","9,036.62",9123.41,16338916796.00,"168,065,586,387"
1-Jul-20,"9,145.99","9,309.75","9,104.73",9228.33,15971550355.00,"169,988,756,578"
30-Jun-20,"9,185.58","9,217.84","9,084.84",9137.99,15735797744.00,"168,315,606,321"
29-Jun-20,"9,140.03","9,237.57","9,041.88",9190.85,16460547078.00,"169,280,659,246"
28-Jun-20,"9,048.46","9,197.55","8,975.53",9143.58,14560870760.00,"168,401,806,137"
27-Jun-20,"9,167.82","9,207.81","8,998.22",9045.39,17273093144.00,"166,584,831,506"
26-Jun-20,"9,260.99","9,310.52","9,101.74",9162.92,18341465837.00,"168,741,367,622"
25-Jun-20,"9,314.13","9,340.16","9,095.32",9264.81,18616048626.00,"170,608,289,504"
24-Jun-20,"9,632.15","9,680.37","9,278.23",9313.61,18961716076.00,"171,498,781,280"
23-Jun-20,"9,644.08","9,670.54","9,547.25",9629.66,17006433272.00,"177,310,052,079"
22-Jun-20,"9,300.92","9,655.07","9,296.87",9648.72,21104009514.00,"177,651,397,437"
21-Jun-20,"9,330.93","9,401.11","9,300.43",9303.63,15324301169.00,"171,289,415,079"
20-Jun-20,"9,290.96","9,394.97","9,247.38",9332.34,17130541557.00,"171,809,438,651"
19-Jun-20,"9,410.29","9,440.88","9,274.30",9288.02,19632223107.00,"170,985,625,732"
18-Jun-20,"9,481.57","9,482.78","9,328.40",9411.84,17770083003.00,"173,256,688,664"
17-Jun-20,"9,533.78","9,540.42","9,327.34",9480.26,20177709879.00,"174,508,805,561"
16-Jun-20,"9,454.27","9,579.43","9,400.45",9538.02,21565537209.00,"175,563,963,385"
15-Jun-20,"9,386.04","9,504.86","8,990.18",9450.70,26699704768.00,"173,947,607,772"
14-Jun-20,"9,477.55","9,482.27","9,347.59",9386.79,18991732746.00,"172,763,239,787"
13-Jun-20,"9,480.74","9,493.21","9,396.01",9475.28,17564322315.00,"174,381,819,725"
12-Jun-20,"9,320.69","9,540.47","9,285.85",9480.84,22610564515.00,"174,474,896,922"
11-Jun-20,"9,870.08","9,938.30","9,263.07",9321.78,30247143440.00,"171,538,133,043"
10-Jun-20,"9,794.12","9,908.90","9,728.29",9870.09,25706567601.00,"181,616,765,438"
9-Jun-20,"9,774.36","9,836.37","9,664.72",9795.70,23717842783.00,"180,237,817,527"
8-Jun-20,"9,760.06","9,782.31","9,675.89",9771.49,21486346312.00,"179,782,576,534"
7-Jun-20,"9,653.00","9,768.50","9,458.15",9758.85,25015250846.00,"179,540,253,701"
6-Jun-20,"9,664.90","9,773.43","9,591.02",9653.68,20438419222.00,"177,595,657,884"
5-Jun-20,"9,800.22","9,869.24","9,663.22",9665.53,23509628646.00,"177,801,825,145"
4-Jun-20,"9,655.85","9,887.61","9,525.25",9800.64,25921805072.00,"180,276,153,545"
3-Jun-20,"9,533.76","9,682.86","9,471.85",9656.72,25007459262.00,"177,619,631,126"
2-Jun-20,"10,162.97","10,182.34","9,460.57",9529.80,39137252109.00,"175,277,218,229"
1-Jun-20,"9,463.61","10,199.56","9,450.90",10167.27,35198901068.00,"186,993,405,740"
31-May-20,"9,700.11","9,700.34","9,432.30",9461.06,27773290299.00,"173,997,151,930"
30-May-20,"9,438.91","9,704.03","9,366.73",9700.41,32722975141.00,"178,390,129,758"
29-May-20,"9,528.36","9,573.67","9,379.34",9439.12,32896642044.00,"173,575,756,364"
28-May-20,"9,184.94","9,546.32","9,148.46",9525.75,34367073114.00,"175,161,235,290"
27-May-20,"8,837.38","9,203.32","8,834.16",9181.02,32740536902.00,"168,814,700,531"
26-May-20,"8,909.59","8,991.97","8,757.29",8835.05,29584186947.00,"162,445,535,235"
25-May-20,"8,786.11","8,951.01","8,719.67",8906.93,31288157264.00,"163,760,453,116"
24-May-20,"9,212.28","9,288.40","8,787.25",8790.37,32518803300.00,"161,610,414,643"
23-May-20,"9,185.06","9,302.50","9,118.11",9209.29,27727866812.00,"169,305,492,440"
22-May-20,"9,080.33","9,232.94","9,008.64",9182.58,29810773699.00,"168,807,619,957"
21-May-20,"9,522.74","9,555.24","8,869.93",9081.76,39326160532.00,"166,947,987,864"
20-May-20,"9,725.33","9,804.79","9,447.20",9522.98,36546239703.00,"175,050,963,475"
19-May-20,"9,727.06","9,836.05","9,539.62",9729.04,39254288955.00,"178,831,635,026"
18-May-20,"9,675.69","9,906.03","9,570.36",9726.57,41827139896.00,"178,779,483,464"
17-May-20,"9,374.93","9,823.00","9,349.55",9670.74,40084250663.00,"177,745,404,470"
16-May-20,"9,333.24","9,564.20","9,260.69",9377.01,36164766408.00,"172,340,956,579"
15-May-20,"9,734.29","9,755.83","9,261.40",9328.20,48158802327.00,"171,436,341,789"
14-May-20,"9,271.33","9,793.27","9,255.03",9733.72,56426907637.00,"178,881,641,547"
13-May-20,"8,805.39","9,317.88","8,805.39",9269.99,45558144023.00,"170,352,710,071"
12-May-20,"8,610.39","8,949.90","8,569.64",8804.48,42142717533.00,"161,791,577,301"
11-May-20,"8,755.54","9,033.47","8,374.32",8601.80,57119858802.00,"158,059,235,276"
10-May-20,"9,591.17","9,595.58","8,395.11",8756.43,63325279337.00,"160,884,755,211"
9-May-20,"9,840.91","9,913.86","9,580.64",9593.90,46566121841.00,"176,251,395,673"
8-May-20,"9,936.16","9,996.74","9,767.17",9842.67,51780748042.00,"180,804,859,844"
7-May-20,"9,261.90","9,992.66","9,138.32",9951.52,61112700562.00,"182,787,376,637"
6-May-20,"9,007.44","9,411.47","8,966.71",9268.76,49371886931.00,"170,229,620,935"
5-May-20,"8,912.83","9,062.41","8,856.83",9003.07,43148462663.00,"165,332,488,792"
4-May-20,"8,895.74","8,956.91","8,645.02",8912.65,45718796276.00,"163,654,493,632"
3-May-20,"8,983.61","9,167.78","8,830.97",8897.47,47101785174.00,"163,358,189,151"
2-May-20,"8,869.06","9,007.19","8,811.37",8988.60,40134388683.00,"165,012,307,600"
1-May-20,"8,672.78","9,048.02","8,667.76",8864.77,44068389997.00,"162,722,652,380"
30-Apr-20,"8,797.67","9,440.65","8,533.26",8658.55,66964629541.00,"158,922,133,909"
29-Apr-20,"7,806.71","8,871.75","7,786.05",8801.04,60201052203.00,"161,522,471,385"
28-Apr-20,"7,796.97","7,814.53","7,730.81",7807.06,33187959921.00,"143,266,252,261"
27-Apr-20,"7,679.42","7,795.60","7,679.42",7795.60,36162144725.00,"143,040,988,590"
26-Apr-20,"7,570.14","7,700.59","7,561.41",7679.87,33070154491.00,"140,903,867,573"
25-Apr-20,"7,550.48","7,641.36","7,521.67",7569.94,32941541447.00,"138,874,072,264"
24-Apr-20,"7,434.18","7,574.20","7,434.18",7550.90,34636526286.00,"138,512,029,491"
23-Apr-20,"7,121.31","7,491.78","7,081.59",7429.72,43500782316.00,"136,275,638,031"
22-Apr-20,"6,879.44","7,145.87","6,867.78",7117.21,33249153866.00,"130,530,916,077"
21-Apr-20,"6,879.78","6,934.55","6,834.44",6880.32,32589741511.00,"126,175,238,603"
20-Apr-20,"7,186.87","7,240.29","6,835.50",6881.96,37747113936.00,"126,192,239,912"
19-Apr-20,"7,260.92","7,280.52","7,167.05",7189.42,31311210215.00,"131,815,853,850"
18-Apr-20,"7,092.29","7,269.96","7,089.25",7257.66,32447188386.00,"133,053,136,876"
17-Apr-20,"7,116.55","7,167.18","7,050.33",7096.18,32513423567.00,"130,078,472,088"
16-Apr-20,"6,640.45","7,134.45","6,555.50",7116.80,46783242377.00,"130,445,413,270"
15-Apr-20,"6,845.56","6,928.66","6,633.40",6642.11,32288311031.00,"121,731,940,639"
14-Apr-20,"6,843.28","6,958.56","6,793.82",6842.43,34110434052.00,"125,388,687,977"
13-Apr-20,"6,965.62","6,965.62","6,668.26",6845.04,38619308647.00,"125,422,221,237"
12-Apr-20,"6,858.07","7,119.95","6,811.08",6971.09,35759567632.00,"127,716,846,208"
11-Apr-20,"6,867.44","6,926.07","6,789.92",6859.08,31222085946.00,"125,651,623,116"
10-Apr-20,"7,303.82","7,303.82","6,802.47",6865.49,43622840992.00,"125,755,496,117"
9-Apr-20,"7,337.97","7,341.45","7,179.09",7302.09,34815139178.00,"133,737,857,010"
8-Apr-20,"7,179.28","7,356.22","7,153.31",7334.10,37563249549.00,"134,309,895,036"
