,USD/EUR,,USD/JPY,,USD/GBP,,USD/CAD,,USD/SEK,,USD/CHF,,USD/CNY,,USD/INR
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
1/3/2005,0.74239,1/3/2005,102.74,1/3/2005,0.52504,1/3/2005,1.2078,1/3/2005,6.707,1/3/2005,1.147,1/3/2005,8.266501,1/3/2005,43.416
1/4/2005,0.7529,1/4/2005,104.34,1/4/2005,0.5309,1/4/2005,1.2212,1/4/2005,6.8097,1/4/2005,1.1676,1/4/2005,8.266501,1/4/2005,43.491
1/5/2005,0.75301,1/5/2005,103.93,1/5/2005,0.53036,1/5/2005,1.2244,1/5/2005,6.8002,1/5/2005,1.1669,1/5/2005,8.266501,1/5/2005,43.589
1/6/2005,0.75855,1/6/2005,104.89,1/6/2005,0.53291,1/6/2005,1.2353,1/6/2005,6.8718,1/6/2005,1.174,1/6/2005,8.266501,1/6/2005,43.828
1/7/2005,0.76564,1/7/2005,104.89,1/7/2005,0.53439,1/7/2005,1.2313,1/7/2005,6.9072,1/7/2005,1.1841,1/7/2005,8.266501,1/7/2005,43.832
1/10/2005,0.76278,1/10/2005,104.17,1/10/2005,0.53279,1/10/2005,1.2207,1/10/2005,6.8952,1/10/2005,1.1794,1/10/2005,8.266501,1/10/2005,43.793
1/11/2005,0.76237,1/11/2005,103.42,1/11/2005,0.53231,1/11/2005,1.2188,1/11/2005,6.8809,1/11/2005,1.1824,1/11/2005,8.266501,1/11/2005,43.529
1/12/2005,0.75438,1/12/2005,102.44,1/12/2005,0.5289,1/12/2005,1.2014,1/12/2005,6.8253,1/12/2005,1.1676,1/12/2005,8.266501,1/12/2005,43.531
1/13/2005,0.75694,1/13/2005,102.46,1/13/2005,0.53163,1/13/2005,1.2021,1/13/2005,6.8487,1/13/2005,1.1721,1/13/2005,8.266501,1/13/2005,43.573
1/14/2005,0.76342,1/14/2005,101.98,1/14/2005,0.53459,1/14/2005,1.2133,1/14/2005,6.9215,1/14/2005,1.1791,1/14/2005,8.266501,1/14/2005,43.511
1/17/2005,0.76622,1/17/2005,102.26,1/17/2005,0.53842,1/17/2005,1.2184,1/17/2005,6.9409,1/17/2005,1.1845,1/17/2005,8.266501,1/17/2005,43.5
1/18/2005,0.76817,1/18/2005,102.26,1/18/2005,0.53668,1/18/2005,1.2239,1/18/2005,6.9431,1/18/2005,1.1853,1/18/2005,8.266501,1/18/2005,43.68
1/19/2005,0.76905,1/19/2005,102.91,1/19/2005,0.5345,1/19/2005,1.2288,1/19/2005,6.9388,1/19/2005,1.1851,1/19/2005,8.266501,1/19/2005,43.52
1/20/2005,0.77143,1/20/2005,103.37,1/20/2005,0.53459,1/20/2005,1.2333,1/20/2005,6.9819,1/20/2005,1.1902,1/20/2005,8.266501,1/20/2005,43.68
1/21/2005,0.76929,1/21/2005,102.61,1/21/2005,0.53271,1/21/2005,1.2164,1/21/2005,6.9361,1/21/2005,1.1854,1/21/2005,8.266501,1/21/2005,43.501
1/24/2005,0.76693,1/24/2005,102.58,1/24/2005,0.53223,1/24/2005,1.2238,1/24/2005,6.9525,1/24/2005,1.185,1/24/2005,8.266501,1/24/2005,43.58
1/25/2005,0.77095,1/25/2005,104.02,1/25/2005,0.53639,1/25/2005,1.2349,1/25/2005,6.9966,1/25/2005,1.1934,1/25/2005,8.266501,1/25/2005,43.66
1/26/2005,0.76464,1/26/2005,103.07,1/26/2005,0.53132,1/26/2005,1.2329,1/26/2005,6.9378,1/26/2005,1.1825,1/26/2005,8.266501,1/26/2005,43.66
1/27/2005,0.76681,1/27/2005,102.85,1/27/2005,0.52882,1/27/2005,1.2374,1/27/2005,6.965,1/27/2005,1.1843,1/27/2005,8.266501,1/27/2005,43.68
1/28/2005,0.76658,1/28/2005,102.73,1/28/2005,0.52944,1/28/2005,1.238,1/28/2005,6.9814,1/28/2005,1.1855,1/28/2005,8.266501,1/28/2005,43.603
1/31/2005,0.76617,1/31/2005,103.6,1/31/2005,0.53073,1/31/2005,1.2402,1/31/2005,6.9781,1/31/2005,1.1878,1/31/2005,8.266501,1/31/2005,43.66
