,UUP,,USDU,,UDN
Date,Close,Date,Close,Date,Close
2/20/2007,25.07,12/18/2013,25,2/20/2007,24.97
2/21/2007,25.12,12/19/2013,25.2,2/21/2007,24.96
2/22/2007,25.12,12/20/2013,25.12,2/22/2007,24.93
2/23/2007,25.04,12/23/2013,25.14,2/23/2007,24.99
2/26/2007,25.04,12/24/2013,25.13,2/26/2007,25.03
2/27/2007,24.9,12/26/2013,25.18,2/27/2007,25.25
2/28/2007,24.94,12/27/2013,25.17,2/28/2007,25.16
3/1/2007,24.97,12/30/2013,25.15,3/1/2007,25.12
3/2/2007,24.96,12/31/2013,25.11,3/2/2007,25.12
3/5/2007,25.12,1/2/2014,25.27,3/5/2007,25
3/6/2007,25.1,1/3/2014,25.23,3/6/2007,25.02
3/7/2007,25,1/6/2014,25.19,3/7/2007,25.12
3/8/2007,25.12,1/7/2014,25.24,3/8/2007,24.99
3/9/2007,25.16,1/8/2014,25.31,3/9/2007,24.97
3/12/2007,25.08,1/9/2014,25.28,3/12/2007,25.08
3/13/2007,25.02,1/10/2014,25.17,3/13/2007,25.13
3/14/2007,24.96,1/13/2014,25.11,3/14/2007,25.18
3/16/2007,24.87,1/14/2014,25.21,3/15/2007,25.15
3/19/2007,25,1/15/2014,25.31,3/16/2007,25.28
3/20/2007,24.85,1/16/2014,25.31,3/19/2007,25.25
3/21/2007,24.78,1/17/2014,25.38,3/20/2007,25.37
3/22/2007,24.78,1/21/2014,25.35,3/21/2007,25.44
3/23/2007,24.93,1/22/2014,25.38,3/22/2007,25.38
3/26/2007,24.85,1/23/2014,25.26,3/23/2007,25.3
3/27/2007,24.84,1/24/2014,25.22,3/26/2007,25.36
3/28/2007,24.84,1/27/2014,25.21,3/27/2007,25.4
3/29/2007,24.87,1/28/2014,25.26,3/28/2007,25.38
3/30/2007,24.79,1/29/2014,25.27,3/29/2007,25.36
4/2/2007,24.79,1/30/2014,25.36,3/30/2007,25.41
4/3/2007,24.88,1/31/2014,25.36,4/2/2007,25.45
4/4/2007,24.85,2/3/2014,25.3,4/3/2007,25.35
4/5/2007,24.77,2/4/2014,25.28,4/4/2007,25.42
4/9/2007,24.93,2/5/2014,25.22,4/5/2007,25.5
4/10/2007,24.85,2/6/2014,25.18,4/9/2007,25.4
4/11/2007,24.85,2/7/2014,25.19,4/10/2007,25.52
4/12/2007,24.7,2/10/2014,25.18,4/11/2007,25.55
4/13/2007,24.69,2/11/2014,25.18,4/12/2007,25.6
4/16/2007,24.59,2/12/2014,25.17,4/13/2007,25.68
4/17/2007,24.58,2/13/2014,25.05,4/16/2007,25.68
4/18/2007,24.55,2/14/2014,25.01,4/17/2007,25.81
4/19/2007,24.55,2/18/2014,24.98,4/18/2007,25.83
4/20/2007,24.46,2/19/2014,25.07,4/19/2007,25.82
4/23/2007,24.59,2/20/2014,25.08,4/20/2007,25.82
4/24/2007,24.56,2/21/2014,25.06,4/23/2007,25.81
4/25/2007,24.52,2/24/2014,25.02,4/24/2007,25.91
4/26/2007,24.62,2/25/2014,25.01,4/25/2007,25.93
4/27/2007,24.54,2/26/2014,25.09,4/26/2007,25.83
4/30/2007,24.49,2/27/2014,25.04,4/27/2007,25.92
5/1/2007,24.64,2/28/2014,24.97,4/30/2007,25.94
5/2/2007,24.66,3/3/2014,25.01,5/1/2007,25.9
5/3/2007,24.69,3/4/2014,25.07,5/2/2007,25.76
5/4/2007,24.6,3/5/2014,25,5/3/2007,25.79
5/7/2007,24.66,3/6/2014,24.91,5/4/2007,25.87
5/8/2007,24.73,3/7/2014,24.94,5/7/2007,25.92
5/9/2007,24.76,3/10/2014,24.97,5/8/2007,25.83
5/10/2007,24.79,3/11/2014,25,5/9/2007,25.77
5/11/2007,24.81,3/12/2014,24.99,5/10/2007,25.72
5/14/2007,24.79,3/13/2014,24.91,5/11/2007,25.78
5/15/2007,24.71,3/14/2014,24.88,5/14/2007,25.77
5/16/2007,24.82,3/17/2014,24.86,5/15/2007,25.87
5/17/2007,24.88,3/18/2014,24.84,5/16/2007,25.75
5/18/2007,24.83,3/19/2014,25,5/17/2007,25.7
5/21/2007,24.9,3/20/2014,25.12,5/18/2007,25.76
