,Annual_return_19,YTD_return_20,STD_19,STD_20,Sharpe_Ratios,Beta_19,Beta_20,RSI
BIZD,0.2709294565276157,-0.2560499776983406,0.006313095862983029,0.04536779078858857,0.15434078387789066,0.8492131175524685,0.3955175077987915,49.05215464081673
DBO,0.268562724590079,-0.34237600694496173,0.017389066346563543,0.03385055054986489,-0.42100983230098227,0.16282842672440853,0.4431025753831941,57.68211202397351
GLD,0.1730816754560125,0.1575547649558131,0.007343562362124818,0.01319983749685413,0.223528640992353,-0.2869235094225456,0.3089530465627142,62.7742756659724
IWM,0.2482504847747644,-0.14244859304474633,0.010095444641167036,0.03359791584557892,0.4472740217949588,0.6810961208158622,0.7855207690513245,52.44839083612122
SHY,0.03343936094141031,0.029092799718015483,0.0007785756679651617,0.001042444318410876,1.365918449222675,-4.578273811256528,-10.703537462211816,61.699310383804175
SPY,0.3149475505156545,-0.053165874834151694,0.007881111979326498,0.028190400896511904,0.7336904144488504,1.0,1.0000000000000002,50.14900006433337
STIP,0.048353267185810456,0.019919155905421704,0.0009188464453656804,0.003274464413344892,0.5413399322685223,-0.8413178383055663,2.9486269426321896,67.66991651025283
USRT,0.277677952977861,-0.18002261068096548,0.007776989795817994,0.037245045139987214,0.2747823361566421,0.4210522210792564,0.6785918382029406,48.47055108454908
UUP,0.03792189108275679,0.011511939775794788,0.002957733912869528,0.007029968498309841,0.42071897549064713,0.10894751184834282,0.8206881377491496,48.13246051725055
VGLT,0.14860292764368377,0.20695893628089124,0.0072633689961054985,0.01624413359741191,0.5739295505285793,-0.511213691164186,-0.8925668293773835,57.09055756267314
VWO,0.20592311711682543,-0.12024195309863628,0.009141580174874672,0.02695933125142908,0.184048752547129,0.6582691188922762,0.9435625450322453,57.517039014314854
Bitcoin,0.848676652947576,0.3157096086591167,0.04372890888304972,0.05374477057992656,1.1058504485328446,-0.022115200486960526,0.25832059148899966,46.854439295538626
