DATE,M2SL
1/1/2005,6411.2
2/1/2005,6419.6
3/1/2005,6428.6
4/1/2005,6442.6
5/1/2005,6459.9
6/1/2005,6492.3
7/1/2005,6523.9
8/1/2005,6556.6
9/1/2005,6590.7
10/1/2005,6624.7
11/1/2005,6641.2
12/1/2005,6668
1/1/2006,6710.5
2/1/2006,6734.8
3/1/2006,6749.3
4/1/2006,6786.4
5/1/2006,6793
6/1/2006,6831
7/1/2006,6872.5
8/1/2006,6903.3
9/1/2006,6930.5
10/1/2006,6979.5
11/1/2006,7014.3
12/1/2006,7057.5
1/1/2007,7095.5
2/1/2007,7111.3
3/1/2007,7145.1
4/1/2007,7217.4
5/1/2007,7231
6/1/2007,7264.2
7/1/2007,7294.5
8/1/2007,7370.9
9/1/2007,7389.2
10/1/2007,7402.8
11/1/2007,7427.8
12/1/2007,7458
1/1/2008,7491.8
2/1/2008,7576.5
3/1/2008,7642.5
4/1/2008,7685.2
5/1/2008,7697.1
6/1/2008,7714.6
7/1/2008,7761
8/1/2008,7776
9/1/2008,7845.9
10/1/2008,7954
11/1/2008,8004.6
12/1/2008,8181
1/1/2009,8262.4
2/1/2009,8291.6
3/1/2009,8357.6
4/1/2009,8360.7
5/1/2009,8418.2
6/1/2009,8427.8
7/1/2009,8432.5
8/1/2009,8432.2
9/1/2009,8431.5
10/1/2009,8458.3
11/1/2009,8488.4
12/1/2009,8483.4
1/1/2010,8445.7
2/1/2010,8495.3
3/1/2010,8492.4
4/1/2010,8522.8
5/1/2010,8577.5
6/1/2010,8596.6
7/1/2010,8606.2
8/1/2010,8656.5
9/1/2010,8687.7
10/1/2010,8736.7
11/1/2010,8757.4
12/1/2010,8789.3
1/1/2011,8825.9
2/1/2011,8871.4
3/1/2011,8915.7
4/1/2011,8977.9
5/1/2011,9029.2
6/1/2011,9113.4
7/1/2011,9301.4
8/1/2011,9515.1
9/1/2011,9539.7
10/1/2011,9571.3
11/1/2011,9612.3
12/1/2011,9651.1
1/1/2012,9730.3
2/1/2012,9773.1
3/1/2012,9817.8
4/1/2012,9872.1
5/1/2012,9903.8
6/1/2012,9973.6
7/1/2012,10046.8
8/1/2012,10117.9
9/1/2012,10200.2
10/1/2012,10261.3
11/1/2012,10319.9
12/1/2012,10445.7
1/1/2013,10471.2
2/1/2013,10468.2
3/1/2013,10539.7
4/1/2013,10575.1
5/1/2013,10611.3
6/1/2013,10665.9
7/1/2013,10721.9
8/1/2013,10780.4
9/1/2013,10832.6
10/1/2013,10945.2
11/1/2013,10953
12/1/2013,11015
1/1/2014,11065.6
2/1/2014,11148.7
3/1/2014,11190.3
4/1/2014,11246.5
5/1/2014,11314.8
6/1/2014,11367.1
7/1/2014,11428.4
8/1/2014,11457.6
9/1/2014,11492
10/1/2014,11551.4
11/1/2014,11590.6
12/1/2014,11668
1/1/2015,11732.1
2/1/2015,11852.5
3/1/2015,11869.4
4/1/2015,11916.6
5/1/2015,11949.3
6/1/2015,11994.6
7/1/2015,12046.6
8/1/2015,12097.6
9/1/2015,12153.1
10/1/2015,12185
11/1/2015,12274.2
12/1/2015,12330.1
1/1/2016,12458
2/1/2016,12534.3
3/1/2016,12597.9
4/1/2016,12687.2
5/1/2016,12756
6/1/2016,12823.6
7/1/2016,12882.3
8/1/2016,12969.7
9/1/2016,13030.8
10/1/2016,13099.4
11/1/2016,13169.7
12/1/2016,13198.9
1/1/2017,13275.4
2/1/2017,13341.1
3/1/2017,13411.4
4/1/2017,13476.8
5/1/2017,13530.5
6/1/2017,13558.2
7/1/2017,13618.2
8/1/2017,13673.8
9/1/2017,13716.4
10/1/2017,13768.9
11/1/2017,13794
12/1/2017,13835.7
1/1/2018,13858.4
2/1/2018,13892.8
3/1/2018,13952.7
4/1/2018,13989.2
5/1/2018,14054.9
6/1/2018,14120
7/1/2018,14153
8/1/2018,14197
9/1/2018,14228.5
10/1/2018,14235.4
11/1/2018,14245.4
12/1/2018,14351.7
1/1/2019,14434.6
2/1/2019,14464.3
3/1/2019,14511.8
4/1/2019,14558.7
5/1/2019,14654.3
6/1/2019,14782.6
7/1/2019,14862.1
8/1/2019,14933.3
9/1/2019,15022.9
10/1/2019,15149.8
11/1/2019,15251.2
12/1/2019,15307.1
1/1/2020,15402.2
2/1/2020,15447
3/1/2020,15990.1
4/1/2020,17021
5/1/2020,17870.5
6/1/2020,18166.8
