yr_mo,SP500_ia_price,SP500_pe,SP500_pe_shiller,SP500_eyield,30y_mort_int,15y_mort_int,Unemployment_ST,Unemployment_LT,PPI_pp,CPI_urban,GDP_R,GDP_N
2005-01,1588.39,19.99,26.59,5.0,5.71,5.1725,5.020076,5.020076,94.8,111.3,14810.87545,12795.23037
2005-04,1534.19,19.02,25.41,5.26,5.855,5.407500000000001,5.011637,5.011637,90.4,113.4,14908.47011,12969.7401
2005-07,1603.76,19.0,26.29,5.26,5.695,5.2775,5.00365448,5.00365448,83.8,113.7,15003.90414,13170.8185
2005-10,1534.19,17.64,24.88,5.67,6.0649999999999995,5.625000000000001,4.996716776,4.996716776,79.5,115.7,15096.59206,13358.83971
2006-01,1653.35,18.07,26.47,5.53,6.1450000000000005,5.71,4.990855643,4.990855643,76.0,115.2,15185.73548,13531.48797
2006-04,1656.92,17.77,26.15,5.63,6.5075,6.154999999999999,4.984650485,4.984650485,70.1,116.9,15272.11184,13722.31589
2006-07,1587.8,16.61,24.7,6.02,6.7625,6.39,4.976414751,4.976414751,65.1,118.1,15354.10352,13892.56646
2006-10,1732.22,17.14,26.54,5.83,6.3575,6.049999999999999,4.9650612,4.9650612,60.3,117.1,15431.41568,14014.05639
2007-01,1803.94,17.36,27.21,5.76,6.2175,5.965000000000001,4.950884295,4.950884295,58.2,117.33,15506.14267,14220.37776
2007-04,1815.65,17.48,26.98,5.72,6.180000000000001,5.8825,4.935016571,4.935016571,55.4,119.666,15581.21195,14381.58032
2007-07,1871.83,18.36,27.41,5.45,6.695,6.36,4.919321723,4.919321723,50.1,120.377,15656.62171,14525.64973
2007-10,1889.38,20.68,27.32,4.84,6.375,6.040000000000001,4.905262098,4.905262098,46.3,120.885,15731.05518,14652.67648
2008-01,1674.75,21.46,24.02,4.66,5.758000000000001,5.287999999999999,4.892943152,4.892943152,43.2,121.867,15804.17144,14775.1264
2008-04,1635.67,23.88,23.36,4.19,5.9175,5.465000000000001,4.938633309,4.884633309,40.3,124.116,15873.93615,14919.92592
2008-07,1465.57,25.37,20.91,3.94,6.425999999999999,5.9719999999999995,4.966782019,4.882782019,39.9,126.918,15938.81944,15092.58787
2008-10,1146.93,27.22,16.39,3.67,6.2,5.892,5.078826425,4.887926425,37.7,125.5,15998.43684,15196.32315
2009-01,1051.09,70.91,15.17,1.41,5.047499999999999,4.7175,5.18455905,4.90155905,36.7,122.095,16051.57468,15245.1779
2009-04,1019.79,119.85,14.98,0.83,4.8100000000000005,4.5,5.253500388,4.923500388,33.8,123.053,16099.58244,15268.54566
2009-07,1114.17,101.87,16.69,0.98,5.2219999999999995,4.692,5.363779055,4.950279055,32.0,124.293,16143.76432,15326.54285
2009-10,1266.28,42.12,19.36,2.37,4.952,4.390000000000001,5.470565352,4.978565352,31.6,124.791,16186.22665,15418.76671
2010-01,1329.47,20.7,20.53,4.83,5.029999999999999,4.435,5.612819397,5.005819397,30.8,124.987,16228.82082,15498.5023
2010-04,1408.13,19.01,21.8,5.26,5.098,4.418,5.6531307,5.0291307,30.1,125.62,16273.50602,15613.24768
2010-07,1269.91,15.72,19.67,6.36,4.564,4.04,5.687877381,5.047877381,29.3,125.536,16320.99113,15704.37176
2010-10,1373.44,15.9,21.24,6.29,4.2250000000000005,3.66,5.729948784,5.062948784,28.2,125.969,16370.90729,15841.02979
2011-01,1493.29,16.3,22.98,6.13,4.755,4.0875,5.761508564,5.073508564,27.6,126.778,16423.44544,15977.13344
2011-04,1517.93,16.21,23.14,6.17,4.840000000000001,4.055,5.777988225,5.078988225,26.5,129.483,16478.53045,16136.04992
2011-07,1503.93,15.61,22.61,6.41,4.545,3.68,5.784306622,5.079306622,25.9,129.983,16536.3917,16297.24132
2011-10,1367.03,13.88,20.16,7.2,4.067500000000001,3.3475,5.799233799,5.073233799,25.1,130.373,16596.55933,16381.27414
2012-01,1471.16,14.87,21.21,6.73,3.915,3.2,5.765331079,5.060331079,25.1,130.438,16659.20639,16546.00633
2012-04,1544.96,15.7,21.78,6.37,3.91,3.1425,5.729763118,5.041763118,24.5,132.284,16724.59377,16676.58443
2012-07,1521.75,15.55,21.0,6.43,3.55,2.8449999999999998,5.658910247,5.018910247,23.9,131.731,16791.99967,16829.78521
2012-10,1593.69,16.62,21.58,6.02,3.3825000000000003,2.6925000000000003,5.600325842,4.993325842,23.3,132.892,16860.89551,16985.28265
2013-01,1648.28,17.03,21.9,5.87,3.414,2.6960000000000006,5.458699512,4.966699512,22.6,132.137,16930.89511,17123.73556
2013-04,1731.89,17.69,22.6,5.65,3.4450000000000003,2.66,5.309699797,4.939699797,22.2,133.421,17001.93159,17245.19835
2013-07,1831.54,18.12,23.49,5.52,4.37,3.43,5.202233148,4.912233148,21.6,133.919,17073.43469,17400.8226
2013-10,1888.3,17.86,23.83,5.6,4.192,3.274,5.084251115,4.884251115,21.3,133.876,17145.9803,17577.62405
2014-01,1997.48,18.15,24.86,5.51,4.432,3.4799999999999995,4.97531235,4.85531235,21.0,134.017,17219.14135,17724.94359
2014-04,2016.2,18.35,24.79,5.45,4.3375,3.3925,4.883756796,4.823756796,20.8,135.771,17292.98295,17900.23707
2014-07,2123.36,18.96,25.82,5.27,4.128333333333333,3.235,4.811865975,4.791865975,20.6,136.392,17367.99317,18055.29178
2014-10,2091.98,18.5,25.16,5.41,4.0360000000000005,3.21,4.760038352,4.760038352,20.3,135.891,17443.72667,18163.02728
2015-01,2225.06,20.02,26.49,4.99,3.67,2.985,4.728679682,4.728679682,20.1,133.487,17519.99951,18236.51289
2015-04,2270.13,21.42,26.79,4.67,3.6720000000000006,2.9419999999999997,4.69820499,4.69820499,19.9,135.222,17596.55729,18419.17969
2015-07,2249.8,22.4,26.38,4.46,4.046,3.214,4.669040677,4.669040677,19.7,136.371,17672.51411,18564.57978
2015-10,2182.78,22.68,25.49,4.41,3.7959999999999994,3.0100000000000002,4.641627,4.641626581,19.5,135.735,17747.58,18643.55
2016-01,2076.34,22.18,24.21,4.51,3.8725000000000005,3.155,4.616418,4.616417567,19.3,134.966,17821.97,18702.57
2016-04,2224.17,23.97,25.92,4.17,3.605,2.87,4.593884,4.593884051,19.1,136.332,17895.64,18908.03
2016-07,2289.7,24.52,26.69,4.08,3.4400000000000004,2.7475,4.57412,4.574119688,18.9,137.007,17969.0,19054.73
2016-10,2273.03,23.57,26.53,4.24,3.47,2.7624999999999997,4.556973,4.556972925,18.3,137.536,18042.4,19224.39
2017-01,2402.11,23.59,28.06,4.24,4.15,3.3875,4.54215,4.542149968,18.1,138.035,18116.74,19395.35
2017-04,2473.84,23.24,28.9,4.3,4.045,3.3,4.529291,4.529290989,18.0,138.81,18191.67,19539.92
2017-07,2570.48,23.36,30.0,4.28,3.9675,3.2350000000000003,4.518023,4.518023098,17.8,138.755,18269.93,19726.5
2017-10,2657.88,23.67,30.92,4.22,3.895,3.1999999999999997,4.507994,4.507994433,17.6,139.782,18351.22,19950.12
2018-01,2885.77,24.97,33.31,4.01,4.032500000000001,3.4825,4.498894,4.498893823,17.4,140.239,18436.12,20160.82
2018-04,2715.57,22.53,30.97,4.44,4.467499999999999,3.925,4.49046,4.490460103,17.3,141.662,18524.91,20429.49
2018-07,2842.28,22.33,31.89,4.48,4.5275,4.0075,4.482484,4.482484431,17.2,142.317,18617.02,20621.67
2018-10,2824.11,21.25,31.04,4.71,4.83,4.2475000000000005,4.474808,4.474808201,17.4,142.7,18711.03,20817.17
2019-01,2655.89,19.6,28.38,5.1,4.464,3.906,4.467318,4.467318355,17.0,142.001,18806.42,20964.05
2019-04,2913.41,21.56,30.13,4.64,4.1425,3.6050000000000004,4.459941,4.459941307,16.4,143.926,18903.14,21207.07
2019-07,2994.05,22.28,29.99,4.49,3.765,3.2025,4.452636,4.452636248,15.9,144.462,19000.87,21407.04
2019-10,2966.66,22.04,28.84,4.54,3.688,3.142,4.445388,4.445388317,15.4,144.851,19099.88,21630.72
