,SPY,,IWM,,VWO,,BIZD,,VGLT,,SHY
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
1/3/2005,120.3,1/3/2005,63.91,3/10/2005,25.08,2/12/2013,20.17,11/24/2009,60.13,1/3/2005,81.44
1/4/2005,118.83,1/4/2005,62.54,3/11/2005,25.05,2/13/2013,20.24,11/25/2009,60.52,1/4/2005,81.26
1/5/2005,118.01,1/5/2005,61.29,3/14/2005,24.9,2/14/2013,20.38,11/27/2009,60.78,1/5/2005,81.28
1/6/2005,118.61,1/6/2005,61.62,3/15/2005,24.36,2/15/2013,20.33,11/30/2009,60.76,1/6/2005,81.32
1/7/2005,118.44,1/7/2005,60.93,3/16/2005,24.15,2/19/2013,20.52,12/1/2009,60.34,1/7/2005,81.33
1/10/2005,119,1/10/2005,61.55,3/17/2005,24.35,2/20/2013,20.3,12/2/2009,60.6,1/10/2005,81.28
1/11/2005,118.18,1/11/2005,60.8,3/18/2005,24.38,2/21/2013,19.93,12/3/2009,59.95,1/11/2005,81.3
1/12/2005,118.57,1/12/2005,61.05,3/21/2005,24.08,2/22/2013,20.24,12/8/2009,59.51,1/12/2005,81.31
1/13/2005,117.62,1/13/2005,60.87,3/22/2005,23.69,2/25/2013,20.01,12/9/2009,59.39,1/13/2005,81.41
1/14/2005,118.24,1/14/2005,61.45,3/23/2005,23.48,2/26/2013,20.1,12/10/2009,59.1,1/14/2005,81.37
1/18/2005,119.47,1/18/2005,62.18,3/24/2005,23.4,2/27/2013,20.28,12/11/2009,58.47,1/18/2005,81.34
1/19/2005,118.22,1/19/2005,61.29,3/28/2005,23.48,2/28/2013,20.36,12/17/2009,59.38,1/19/2005,81.35
1/20/2005,117.5,1/20/2005,60.92,3/29/2005,22.97,3/1/2013,20.36,12/21/2009,58.42,1/20/2005,81.42
1/21/2005,116.78,1/21/2005,60.78,3/30/2005,23.47,3/4/2013,20.43,12/22/2009,58.07,1/21/2005,81.5
1/24/2005,116.55,1/24/2005,60.32,3/31/2005,23.6,3/5/2013,20.53,12/23/2009,58.17,1/24/2005,81.45
1/25/2005,116.88,1/25/2005,60.47,4/1/2005,23.63,3/6/2013,20.58,12/24/2009,57.35,1/25/2005,81.42
1/26/2005,117.23,1/26/2005,61.28,4/4/2005,23.76,3/7/2013,20.62,12/28/2009,57.18,1/26/2005,81.39
1/27/2005,117.43,1/27/2005,61.45,4/5/2005,23.7,3/8/2013,20.68,12/30/2009,57.57,1/27/2005,81.37
1/28/2005,117.43,1/28/2005,61.4,4/6/2005,23.92,3/11/2013,20.85,12/31/2009,57.36,1/28/2005,81.41
1/31/2005,118.16,1/31/2005,62.12,4/7/2005,24.02,3/12/2013,20.74,1/5/2010,57.84,1/31/2005,81.4
2/1/2005,118.91,2/1/2005,62.47,4/8/2005,23.83,3/13/2013,20.81,1/6/2010,57.39,2/2/2005,81.22
2/2/2005,119.27,2/2/2005,62.95,4/11/2005,23.92,3/14/2013,20.97,1/7/2010,57.25,2/3/2005,81.18
2/3/2005,119.11,2/3/2005,62.61,4/12/2005,23.95,3/15/2013,20.86,1/8/2010,57.15,2/4/2005,81.25
2/4/2005,120.23,2/4/2005,63.39,4/13/2005,23.76,3/18/2013,20.71,1/11/2010,57.14,2/7/2005,81.23
2/7/2005,120.07,2/7/2005,63.38,4/14/2005,23.15,3/19/2013,20.45,1/12/2010,57.71,2/8/2005,81.2
2/8/2005,120.21,2/8/2005,63.53,4/15/2005,22.76,3/20/2013,20.52,1/13/2010,57.37,2/9/2005,81.35
2/9/2005,119.31,2/9/2005,62.18,4/18/2005,22.7,3/21/2013,20.48,1/14/2010,57.56,2/10/2005,81.29
2/10/2005,119.74,2/10/2005,62.29,4/19/2005,23.16,3/22/2013,20.59,1/15/2010,58.29,2/11/2005,81.25
2/11/2005,120.77,2/11/2005,63.3,4/20/2005,22.79,3/25/2013,20.56,1/19/2010,58.17,2/14/2005,81.21
2/14/2005,120.68,2/14/2005,63.25,4/21/2005,23.31,3/26/2013,20.45,1/20/2010,58.54,2/15/2005,81.22
2/15/2005,121.13,2/15/2005,63.3,4/22/2005,23.14,3/27/2013,20.49,1/21/2010,58.79,2/16/2005,81.18
2/16/2005,121.21,2/16/2005,63.49,4/25/2005,23.36,3/28/2013,20.44,1/22/2010,58.84,2/17/2005,81.22
2/17/2005,120.23,2/17/2005,62.93,4/26/2005,23.21,4/1/2013,20.16,1/25/2010,58.57,2/18/2005,81.11
2/18/2005,120.39,2/18/2005,62.78,4/27/2005,23.1,4/2/2013,20.2,1/26/2010,58.57,2/22/2005,81.14
2/22/2005,118.6,2/22/2005,61.55,4/28/2005,22.63,4/3/2013,19.84,1/27/2010,58.63,2/23/2005,81.13
2/23/2005,119.45,2/23/2005,61.92,4/29/2005,23.05,4/4/2013,19.89,1/28/2010,58.39,2/24/2005,81.11
2/24/2005,120.24,2/24/2005,62.5,5/2/2005,23.16,4/5/2013,19.85,1/29/2010,58.71,2/25/2005,81.07
2/25/2005,121.43,2/25/2005,63.54,5/3/2005,23,4/8/2013,20.08,2/1/2010,58.42,2/28/2005,81.02
2/28/2005,120.63,2/28/2005,63.14,5/4/2005,23.8,4/9/2013,19.94,2/2/2010,58.4,3/2/2005,80.89
3/1/2005,121.23,3/1/2005,63.63,5/5/2005,23.81,4/10/2013,20.14,2/3/2010,57.93,3/3/2005,80.92
3/2/2005,121.17,3/2/2005,63.51,5/6/2005,23.93,4/11/2013,20,2/4/2010,58.53,3/4/2005,80.92
3/3/2005,121.22,3/3/2005,63.57,5/9/2005,24.01,4/12/2013,19.88,2/5/2010,58.77,3/7/2005,80.89
3/4/2005,122.73,3/4/2005,64.35,5/10/2005,23.51,4/15/2013,19.45,2/8/2010,58.86,3/8/2005,80.89
3/7/2005,122.79,3/7/2005,64.19,5/11/2005,23.65,4/16/2013,19.6,2/9/2010,58.35,3/9/2005,80.86
3/8/2005,122.33,3/8/2005,63.58,5/12/2005,23.23,4/17/2013,19.27,2/10/2010,57.9,3/10/2005,80.8
3/9/2005,120.97,3/9/2005,62.86,5/13/2005,23.17,4/18/2013,19.23,2/11/2010,57.65,3/11/2005,80.78
3/10/2005,121.24,3/10/2005,62.59,5/16/2005,23.33,4/19/2013,19.39,2/12/2010,57.84,3/14/2005,80.75
3/11/2005,120.39,3/11/2005,62.54,5/17/2005,23.36,4/22/2013,19.84,2/16/2010,58.03,3/15/2005,80.72
3/14/2005,121.14,3/14/2005,63.01,5/18/2005,23.93,4/23/2013,20.11,2/17/2010,57.41,3/16/2005,80.82
3/15/2005,120.14,3/15/2005,62.59,5/19/2005,23.83,4/24/2013,20.2,2/18/2010,57.26,3/17/2005,80.85
3/16/2005,119.12,3/16/2005,62.24,5/20/2005,23.6,4/25/2013,20.31,2/19/2010,57.44,3/18/2005,80.81
3/17/2005,119.36,3/17/2005,62.24,5/23/2005,23.63,4/26/2013,20.37,2/22/2010,57.32,3/21/2005,80.86
3/18/2005,118.54,3/18/2005,61.9,5/24/2005,23.62,4/29/2013,20.68,2/23/2010,58.05,3/22/2005,80.72
3/21/2005,118.1,3/21/2005,61.98,5/25/2005,23.53,4/30/2013,20.76,2/24/2010,58.1,3/23/2005,80.71
3/22/2005,116.9,3/22/2005,61.55,5/26/2005,23.63,5/1/2013,20.15,2/25/2010,58.32,3/24/2005,80.73
3/23/2005,117,3/23/2005,61.1,5/27/2005,23.93,5/2/2013,20.4,2/26/2010,58.42,3/28/2005,80.69
3/24/2005,117.14,3/24/2005,61.05,5/31/2005,23.72,5/3/2013,20.58,3/1/2010,58.47,3/29/2005,80.75
3/28/2005,117.31,3/28/2005,61.08,6/1/2005,23.85,5/6/2013,20.53,3/2/2010,58.3,3/30/2005,80.76
3/29/2005,116.53,3/29/2005,60.2,6/2/2005,24.06,5/7/2013,20.52,3/3/2010,58.41,3/31/2005,80.87
3/30/2005,118.18,3/30/2005,61.09,6/3/2005,24,5/8/2013,20.62,3/4/2010,58.4,4/4/2005,80.73
3/31/2005,117.96,3/31/2005,61.08,6/6/2005,24.21,5/9/2013,20.42,3/5/2010,57.85,4/5/2005,80.75
4/1/2005,117.43,4/1/2005,60.82,6/7/2005,24.09,5/10/2013,20.45,3/8/2010,57.65,4/6/2005,80.81
4/4/2005,117.63,4/4/2005,61.05,6/8/2005,23.98,5/13/2013,20.46,3/10/2010,57.62,4/7/2005,80.78
4/5/2005,118.19,4/5/2005,61.16,6/9/2005,24.15,5/14/2013,20.71,3/11/2010,57.86,4/8/2005,80.77
4/6/2005,118.6,4/6/2005,61.35,6/10/2005,24.17,5/15/2013,20.75,3/12/2010,57.92,4/11/2005,80.77
4/7/2005,119.24,4/7/2005,61.59,6/13/2005,24.15,5/16/2013,20.55,3/15/2010,57.75,4/12/2005,80.82
4/8/2005,118,4/8/2005,60.65,6/14/2005,24.24,5/17/2013,20.65,3/16/2010,58.22,4/13/2005,80.94
4/11/2005,118.09,4/11/2005,60.35,6/15/2005,24.59,5/20/2013,20.73,3/17/2010,58.62,4/14/2005,81.01
4/12/2005,118.7,4/12/2005,60.92,6/16/2005,24.96,5/21/2013,20.75,3/19/2010,58.6,4/15/2005,81.14
4/13/2005,117.3,4/13/2005,59.83,6/17/2005,25.04,5/22/2013,20.49,3/22/2010,58.41,4/18/2005,81.1
4/14/2005,115.77,4/14/2005,58.63,6/20/2005,24.95,5/23/2013,20.37,3/23/2010,58.37,4/19/2005,81.2
4/15/2005,114.15,4/15/2005,57.82,6/21/2005,24.81,5/24/2013,20.4,3/24/2010,57.57,4/20/2005,81.17
4/18/2005,114.5,4/18/2005,58.19,6/22/2005,25.01,5/28/2013,20.37,3/25/2010,57.07,4/21/2005,81.03
4/19/2005,115.41,4/19/2005,59.15,6/23/2005,24.64,5/29/2013,20.14,3/26/2010,57.24,4/22/2005,81.05
4/20/2005,113.8,4/20/2005,58.23,6/24/2005,24.5,5/30/2013,20.29,3/29/2010,57.09,4/25/2005,81.07
4/21/2005,116.01,4/21/2005,59.65,6/27/2005,24.6,5/31/2013,19.98,3/30/2010,57.18,4/26/2005,81.05
4/22/2005,115.57,4/22/2005,58.69,6/28/2005,24.8,6/3/2013,19.76,3/31/2010,57.23,4/27/2005,81.11
4/25/2005,116.33,4/25/2005,59.23,6/29/2005,24.72,6/4/2013,19.65,4/1/2010,57.28,4/28/2005,81.18
4/26/2005,115.2,4/26/2005,58.39,6/30/2005,24.54,6/5/2013,19.47,4/5/2010,56.51,4/29/2005,81.1
4/27/2005,115.65,4/27/2005,58.37,7/1/2005,24.77,6/6/2013,19.7,4/6/2010,56.61,5/3/2005,80.97
4/28/2005,114.2,4/28/2005,56.88,7/5/2005,24.81,6/7/2013,19.86,4/7/2010,57.21,5/4/2005,81
4/29/2005,115.75,4/29/2005,57.62,7/6/2005,24.62,6/10/2013,19.95,4/8/2010,57.01,5/5/2005,81.08
5/2/2005,116.4,5/2/2005,58.21,7/7/2005,24.6,6/11/2013,19.7,4/9/2010,57.13,5/6/2005,80.9
5/3/2005,116.6,5/3/2005,58.5,7/8/2005,24.75,6/12/2013,19.48,4/12/2010,57.41,5/9/2005,80.86
5/4/2005,117.5,5/4/2005,59.15,7/11/2005,25.15,6/13/2013,19.82,4/13/2010,57.5,5/10/2005,80.92
5/5/2005,117.46,5/5/2005,59.14,7/12/2005,25.46,6/14/2013,19.91,4/14/2010,57.45,5/11/2005,80.97
5/6/2005,117.09,5/6/2005,59.35,7/13/2005,25.45,6/17/2013,19.98,4/15/2010,57.33,5/12/2005,81.01
